0,17,9,
579,636,597,
664,725,696,
500,539,514,
623,681,660,
680,738,694,
598,671,623,
414,472,445,
634,696,663,
497,535,508,
5,23,13,
476,568,501,
661,704,681,
554,612,570,
600,669,613,
641,691,666,
527,578,551,
454,505,469,
600,742,617,
560,634,572,
9,27,15,
634,677,644,
625,684,654,
478,523,504,
591,642,613,
571,622,591,
583,697,594,
385,602,490,
524,582,537,
455,522,472,
8,28,17,
567,639,593,
595,682,611,
579,642,599,
552,644,574,
615,680,630,
538,627,560,
469,562,512,
509,569,525,
436,482,448,
10,28,19,
588,646,602,
623,669,645,
560,606,571,
571,620,591,
581,646,595,
616,680,636,
408,493,457,
552,609,564,
515,568,527,
22,37,29,
583,654,600,
687,750,710,
581,623,592,
585,651,604,
608,656,629,
566,623,579,
1053,1343,1121,
585,656,598,
430,461,441,
