12,66,42,
371,459,417,
389,522,476,
325,419,375,
469,571,516,
434,543,485,
377,486,435,
246,7574,2060,
330,438,386,
254,357,317,
5,73,45,
422,568,498,
456,608,537,
396,528,462,
422,556,485,
426,567,497,
438,596,519,
340,2953,463,
420,561,490,
274,438,379,
10,79,44,
414,521,470,
385,564,491,
363,482,431,
408,555,488,
441,542,492,
359,507,441,
417,3339,1633,
408,533,483,
359,475,418,
12,67,38,
394,516,461,
424,558,497,
373,474,425,
456,579,505,
450,583,531,
419,594,520,
292,401,356,
377,500,453,
367,501,433,
7,68,40,
386,502,439,
398,514,456,
338,451,393,
455,602,527,
483,603,549,
358,465,412,
366,530,434,
427,529,486,
347,499,439,
15,123,58,
433,541,482,
414,580,501,
389,489,445,
407,539,488,
479,613,548,
378,489,435,
349,451,401,
391,507,452,
402,498,450,
