8,67,38,
318,407,360,
322,417,364,
254,313,284,
379,490,439,
357,449,404,
257,370,321,
308,420,368,
268,354,309,
245,330,280,
12,58,39,
411,551,486,
377,503,439,
277,366,323,
399,533,471,
441,578,494,
270,362,315,
327,430,368,
375,483,430,
326,425,384,
4,57,30,
438,618,534,
416,525,467,
304,409,356,
445,542,496,
385,511,457,
384,476,435,
296,518,398,
456,572,505,
350,459,406,
17,59,41,
402,558,495,
523,663,596,
330,452,385,
517,656,588,
428,567,491,
365,475,428,
367,488,442,
387,497,445,
300,414,358,
11,57,32,
475,614,537,
426,538,477,
354,484,430,
495,640,558,
458,635,526,
395,473,434,
356,483,444,
382,492,443,
359,457,411,
3,52,32,
428,566,491,
441,562,511,
361,483,413,
499,640,574,
455,623,546,
351,460,405,
413,537,478,
430,534,477,
373,481,421,
