25,79,53,
386,514,441,
387,591,520,
392,547,474,
428,534,485,
390,546,492,
417,555,501,
349,484,414,
357,495,436,
367,516,467,
31,82,60,
271,827,460,
450,583,515,
410,535,487,
363,494,427,
373,554,498,
449,628,533,
276,406,346,
434,566,504,
347,482,416,
10,66,38,
327,488,406,
424,562,505,
375,487,433,
353,463,412,
377,516,445,
386,518,462,
287,401,343,
316,484,415,
287,429,376,
11,68,44,
334,466,397,
396,518,465,
334,466,402,
354,443,398,
374,515,453,
423,543,475,
236,366,314,
336,429,389,
267,384,337,
46,116,77,
328,465,406,
460,583,521,
363,502,446,
356,483,414,
384,513,445,
378,508,454,
236,349,296,
388,500,434,
262,390,329,
13,73,47,
319,461,399,
416,569,497,
392,506,461,
381,499,447,
449,555,496,
388,507,460,
297,363,330,
360,489,423,
324,467,390,
