4,26,12,
417,475,431,
463,527,479,
355,401,367,
500,587,524,
500,559,513,
476,530,490,
382,424,394,
416,469,428,
323,368,335,
5,20,11,
451,492,464,
450,501,463,
358,392,369,
503,558,514,
503,552,515,
437,487,450,
367,397,374,
437,487,449,
325,367,334,
2,27,11,
428,478,442,
413,456,424,
349,383,358,
411,459,426,
458,508,473,
416,483,435,
319,363,330,
373,406,382,
401,457,418,
1,19,10,
382,430,398,
396,443,410,
326,381,339,
482,533,500,
407,453,426,
433,481,448,
345,384,354,
370,403,380,
307,348,323,
5,23,11,
397,446,411,
435,492,451,
330,362,339,
426,482,440,
466,513,478,
438,488,448,
358,399,368,
384,438,396,
315,356,327,
2,18,12,
396,449,409,
450,491,466,
315,367,329,
467,513,479,
408,460,420,
426,480,441,
314,350,324,
380,418,388,
306,344,315,
